method,N,control,T_surf_100s_K,T_surf_100s_C,diff_vs_tightBDF_K,obs_order
向后Euler,400,dt=1.0s,307.24259212341747,34.09259212341749,0.008329704088851031,
向后Euler,400,dt=0.5s,307.24675579022784,34.09675579022786,0.004166037278480417,0.9995894960937401
向后Euler,400,dt=0.25s,307.2488385168826,34.09883851688261,0.0020833106237319043,0.9997977862274978
自适应BDF,400,rtol=1e-08,307.25092053501965,34.10092053501967,1.2924866723551531e-06,
紧容差BDF参考,400,"rtol=1e-11,atol=1e-13",307.2509218275063,34.10092182750634,0.0,
